Gender,year,20-29,30-39,40-49,50-59,60-69,<70,Average
male,2019,25.5,33.2,36.5,31.8,31.1,15.1,27.1
male,2018,25.7,37.4,37,35.2,30.9,15.8,29
male,2017,26.6,39.7,39.6,33.4,30.6,16.2,29.4
male,2016,30.7,42,41.1,39,28.9,12.8,30.2
male,2015,30.6,41.9,37.7,37.2,29.4,15.2,30.1
male,2014,36.7,44.3,44.2,36.5,32.5,15.2,32.1
male,2013,36.3,44,39.5,41.5,33.2,14.5,32.2
male,2012,37.6,43.2,43.2,41,31.9,16.9,34.1
male,2011,39.2,43.9,40.2,37.3,29.3,16.6,32.4
male,2010,34.2,42.1,42.4,40.3,27.4,15.6,32.2
male,2009,40.1,51.2,49.1,44,33.7,19.3,38.2
male,2008,41.2,48.6,51.9,41.2,32.6,19.1,36.8
male,2007,47.5,55.6,49.1,42.3,32.8,18.6,39.4
male,2006,45.1,53.3,46.5,46.2,34.8,19.9,39.9
male,2005,48.9,54.4,44.1,42.5,34,20,39.3
male,2004,51.3,57.3,51.4,47.7,33.3,24,43.3
male,2003,55.8,56.8,55.4,54.4,35.7,26.6,46.8
male,2002,53.3,57.1,54.3,48.1,34.7,28.3,43.3
male,2001,58.9,58.1,58.4,49.6,35.9,29,45.9
male,2000,60.8,56.6,55.1,54.1,37,29.4,47.4
male,1999,56.3,58.1,57.7,52.9,42.1,33.8,49.2
male,1998,60.3,61.9,60.5,52.5,41.8,32.4,50.8
male,1997,62.5,62.3,60.5,56.6,42.2,35.3,52.7
male,1996,53.6,61.6,56.9,53.1,43.8,38.4,51.2
male,1995,60.9,60.8,58.4,54.2,47,31.1,52.7
male,1994,45.1,51.2,46.4,41.9,40.8,34.3,43.8
male,1993,44.4,48.7,47.3,47.4,41.8,34.4,44.8
male,1992,47.8,56.9,55.6,47.2,48.1,38.4,50.1
male,1991,48.3,57.2,55.6,47,52.4,36.6,50.6
male,1990,52.9,63.3,56.6,50.1,51.8,38.8,53.1
male,1989,62.3,65.4,59.5,53.3,50.4,34.5,55.3
Female,2019,7.6,7.4,10.3,12.9,8.6,3,7.6
Female,2018,10.8,9.8,13.6,10.2,7.8,3.1,8.1
Female,2017,6.3,8.5,12.3,9.8,7.3,2.9,7.2
Female,2016,6.3,13.7,13.8,12.5,6.3,2.3,8.2
Female,2015,6.7,11,11.7,11.1,8.3,2.3,7.9
Female,2014,11.8,14.2,12.8,12.2,6.3,2.5,8.5
Female,2013,12.7,12,12.4,11.8,6.4,2.3,8.2
Female,2012,12.3,11.9,12.7,11.9,8,2.9,9
Female,2011,12.8,16.6,16.5,10.2,6.4,3,9.7
Female,2010,12.8,14.2,13.6,10.4,4.5,2,8.4
Female,2009,16.2,17.5,15.2,11.7,7.4,4.9,10.9
Female,2008,14.3,18,13.4,9.5,4.9,3.2,9.1
Female,2007,16.7,17.2,17.9,9.3,7.3,3.7,11
Female,2006,17.9,16.4,13.8,9.2,6.4,2.8,10
Female,2005,18.9,19.4,15.1,12.4,7.3,2.6,11.3
Female,2004,18,18,13.7,13.7,7.6,4.5,12
Female,2003,19.2,18.1,15.5,10.7,6.4,4.2,11.3
Female,2002,17.4,17.2,14.4,9.4,7.5,2.9,10.2
Female,2001,16.1,16,11.7,9.7,6.5,3.4,9.9
Female,2000,20.9,18.8,13.6,10.4,6.6,4,11.5
Female,1999,16,14.9,14.2,8.3,7.9,3.5,10.3
Female,1998,19.1,13.8,12.7,9.6,7.9,5.4,10.9
Female,1997,21.3,15.6,13.7,10,5.8,5.7,11.6
Female,1996,12.8,15.3,9.9,8.9,7.2,6,9.8
Female,1995,16.9,13.2,11.1,9.1,7.6,6.3,10.6
Female,1994,12.7,11,9.9,8.6,5.6,6.3,9.1
Female,1993,10.7,10.2,11.7,7.9,6.1,5.6,8.9
Female,1992,9.7,11.8,11.1,6.6,6.9,7,9
Female,1991,11.2,13.5,11.8,8,7,5.1,9.7
Female,1990,11.9,11,11.3,8,8.5,7.2,9.7
Female,1989,8.9,11.7,10.6,9.1,6.8,8.2,9.4